property_id,property_name,reference_rate_night,rating,n_reviews,city,country,property_type,url_property
661475984265403325,Habitación en Barcelona,37.0,4.96,71,Barcelona,España,Habitación,https://www.airbnb.com.pe/rooms/661475984265403325?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1436799013&search_mode=regular_search&check_in=2024-12-11&check_out=2024-12-16&source_impression_id=p3_1730069738_P30IisnZmysaNp4Y&previous_page_section_name=1000&federated_search_id=8b67f646-9a33-4c30-9c6e-1052e7fcc1b3&currency=EUR
654164495421642086,Habitación en Barcelona,51.0,4.98,108,Barcelona,España,Habitación,https://www.airbnb.com.pe/rooms/654164495421642086?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1991476497&search_mode=regular_search&check_in=2024-12-02&check_out=2024-12-07&source_impression_id=p3_1730069738_P3f8GQo6F4jEbPft&previous_page_section_name=1000&federated_search_id=8b67f646-9a33-4c30-9c6e-1052e7fcc1b3&currency=EUR
1013079336018715533,Habitación en Almeda Mercader,41.0,4.95,66,Barcelona,España,Habitación,https://www.airbnb.com.pe/rooms/1013079336018715533?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1769624386&search_mode=regular_search&check_in=2024-11-17&check_out=2024-11-22&source_impression_id=p3_1730069738_P353g-Qi7_mZ2i8d&previous_page_section_name=1000&federated_search_id=8b67f646-9a33-4c30-9c6e-1052e7fcc1b3&currency=EUR
1093382940108512105,Habitación en Barcelona,67.0,4.75,8,Barcelona,España,Habitación,https://www.airbnb.com.pe/rooms/1093382940108512105?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1843038712&search_mode=regular_search&check_in=2025-01-06&check_out=2025-01-11&source_impression_id=p3_1730069738_P35nehjcGBTkTNUl&previous_page_section_name=1000&federated_search_id=8b67f646-9a33-4c30-9c6e-1052e7fcc1b3&currency=EUR
1258532236251609781,Habitación en Barcelona,46.0,0.0,0,Barcelona,España,Habitación,https://www.airbnb.com.pe/rooms/1258532236251609781?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=2004517945&search_mode=regular_search&check_in=2024-11-10&check_out=2024-11-15&source_impression_id=p3_1730069738_P3DgkneYxUIUqj_n&previous_page_section_name=1000&federated_search_id=8b67f646-9a33-4c30-9c6e-1052e7fcc1b3&currency=EUR
695032942496390153,Habitación en Barcelona,57.0,4.74,120,Barcelona,España,Habitación,https://www.airbnb.com.pe/rooms/695032942496390153?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1904852033&search_mode=regular_search&check_in=2024-11-23&check_out=2024-11-28&source_impression_id=p3_1730069738_P3tGxR8uSp-OLqQO&previous_page_section_name=1000&federated_search_id=8b67f646-9a33-4c30-9c6e-1052e7fcc1b3&currency=EUR
934773077222980767,Habitación en Hospitalet de Llobregat,23.0,5.0,4,Barcelona,España,Habitación,https://www.airbnb.com.pe/rooms/934773077222980767?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1697173435&search_mode=regular_search&check_in=2024-12-01&check_out=2024-12-06&source_impression_id=p3_1730069738_P3Zn4OL6f9r1FXUG&previous_page_section_name=1000&federated_search_id=8b67f646-9a33-4c30-9c6e-1052e7fcc1b3&currency=EUR
45217774,Apartamento en Pineda de Mar,46.0,4.96,146,Barcelona,España,Apartamento,https://www.airbnb.com.pe/rooms/45217774?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-23&check_out=2024-11-28&source_impression_id=p3_1730069738_P3G-KGeKtnHTdvDe&previous_page_section_name=1000&federated_search_id=8b67f646-9a33-4c30-9c6e-1052e7fcc1b3&currency=EUR
1182479262683439802,Habitación en Barcelona,32.0,5.0,3,Barcelona,España,Habitación,https://www.airbnb.com.pe/rooms/1182479262683439802?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1960867566&search_mode=regular_search&check_in=2024-12-01&check_out=2024-12-06&source_impression_id=p3_1730069739_P3xD7a3DF230-F8x&previous_page_section_name=1000&federated_search_id=8b67f646-9a33-4c30-9c6e-1052e7fcc1b3&currency=EUR
3355596,Habitación en Barcelona,46.0,4.6,423,Barcelona,España,Habitación,https://www.airbnb.com.pe/rooms/3355596?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=26920686&search_mode=regular_search&check_in=2024-11-19&check_out=2024-11-24&source_impression_id=p3_1730069739_P37-PkxLNot-mt7y&previous_page_section_name=1000&federated_search_id=8b67f646-9a33-4c30-9c6e-1052e7fcc1b3&currency=EUR
1023364323602579083,Habitación en Barcelona,29.0,4.76,42,Barcelona,España,Habitación,https://www.airbnb.com.pe/rooms/1023364323602579083?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1780376708&search_mode=regular_search&check_in=2024-11-17&check_out=2024-11-22&source_impression_id=p3_1730069739_P3aNmipy7CLRDn0V&previous_page_section_name=1000&federated_search_id=8b67f646-9a33-4c30-9c6e-1052e7fcc1b3&currency=EUR
